,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,E1qaitg6CgvSZRjwEMTbJ3kPEzu9hQWH9Rj4Y622xK9g,39.99,559dopk2ATNQtDKwq3GLQZXZBoKjzk8dCZ4nH5tXD6yn,Co8vekYZmjbZoYEQKtwBRCypAEPv3CWqmk6WqCoV5giB,bohemia_,Bohemia,https://arweave.net/Ml2mK9thAjtOfRhrmfpy5SyfyXgxWDy51grrO7J-rpY?ext=png,Bohemian #2139,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,3q8HB6ffiyvPgVgKtSoSf3cyziX32pWsCi4tHn1GYLg9,"[{'trait_type': 'head', 'value': 'Classic Puff'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'background', 'value': 'Night Mountains'}, {'trait_type': 'glasses', 'value': 'Baroque Glasses'}, {'trait_type': 'body', 'value': 'Freddie Mercury'}, {'trait_type': 'face', 'value': 'Baron Moustache'}, {'trait_type': 'bohemian', 'value': 'Atticus'}]","{'files': [{'uri': '1988.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4150}}
1,5kNh4HQhauUkXo1ju94Vag4DVNyNPsKvusSUUBjXjmEU,23.75,6Kib29HV2fP21icjZiBSfLFpNno2gyrUY2p8vDt4Egwg,DMcCNAJawfg3j55eKGeLi4ZqDaLhVmvzy14J3PwzuepR,bohemia_,Bohemia,https://arweave.net/N9tM1OYY3uEhmXsa6aMxvvDkgtKccnDDysTXp6L4A-0?ext=png,Bohemian #968,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,GVDRKxgPBu3Mcd65JVPoc8FwYnMGNv5v79vpJQaSKQ3S,"[{'trait_type': 'body', 'value': 'Armadillo'}, {'trait_type': 'glasses', 'value': 'Rocketman'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'background', 'value': 'Galaxy'}, {'trait_type': 'face', 'value': 'Lone Ranger'}, {'trait_type': 'bohemian', 'value': 'John'}, {'trait_type': 'head', 'value': 'Chillers Bun'}]","{'files': [{'uri': '817.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2403}, 'howrare': {'rank': 2009}}"
2,APQC5MpCTAJrhKpxpoHvVZWipah6TqoZ8JNKwkH96kA3,23.8,G4kyqsrbsZZkfNF3JC6YDh41vjDLNrSSfDnwp2SmuwTs,DwhfwFUvWuLyNkVKRS3qyormh8hyDNA6SezUd7zZMLGm,bohemia_,Bohemia,https://arweave.net/QoVFUZ0lSptNFJRGdz7EDE3H0G3vXdXpYEmY5pYhjD8?ext=png,Bohemian #1561,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,BURygNuY2Fsuiu8jZY7YpS2Ub751cTF8zqYpfjVEuWxy,"[{'trait_type': 'head', 'value': 'Mayor'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'bohemian', 'value': 'Skully'}, {'trait_type': 'face', 'value': 'Gnome Beard'}, {'trait_type': 'glasses', 'value': 'Classic'}, {'trait_type': 'body', 'value': 'Bohemia 2022'}, {'trait_type': 'background', 'value': 'Purple Balloons'}]","{'files': [{'uri': '1410.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3135}, 'howrare': {'rank': 3445}}"
3,6QYrsU46XtQVP5wUiPwD27585x8CeVMcqtbgvo6MCe27,23.8,6VHTzCMNZ9kvVEUy8KERGVbkXpE53EfmxsuZL1BZ99be,5yzhfbBacRcnmQhGWe21o3ptLxaKgM6XMpeuc1UZV5pp,bohemia_,Bohemia,https://arweave.net/2kK_6dNQtcFUgSt4A2iKYoY2SIQp-yKLL-VBDsivuro?ext=png,Bohemian #2903,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,HvmJFyYhgiuSKdAVeqF3bt4AoHfxYKzpDu7quzQVDtss,"[{'trait_type': 'face', 'value': 'Bull Face'}, {'trait_type': 'body', 'value': 'Priest Vestment'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'background', 'value': 'Night Mountains'}, {'trait_type': 'glasses', 'value': 'No sunnies'}, {'trait_type': 'bohemian', 'value': 'Kai'}, {'trait_type': 'head', 'value': 'Classic'}]","{'files': [{'uri': '2752.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4857}, 'howrare': {'rank': 4858}}"
4,3E75HADVQS6ru1HC5x3EJbAS3pPbKrCYSbpYZx8QWWBU,23.9,ETso6hMv8DbkaNbAGedfw4oR4qTdD5g7yTLrJsxAXyRZ,7Hv96AvPBH4iZeb6fJxzNnEdmf7A8scc97TEWMFQnjNy,bohemia_,Bohemia,https://arweave.net/mQ_5D9fQfNBpvz5VcyFsqoBtKcRk1C4s45SwMJVP_e0?ext=png,Bohemian #4045,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,9KmfYYJum2t6gvXzXxtPzbRK7adJhdHGgKag5vJqybQJ,"[{'trait_type': 'head', 'value': 'Classic Puff'}, {'trait_type': 'body', 'value': 'Armadillo'}, {'trait_type': 'face', 'value': 'Grinch Shave'}, {'trait_type': 'bohemian', 'value': 'Cassius'}, {'trait_type': 'mouth', 'value': 'Coconut Pipe'}, {'trait_type': 'background', 'value': 'Sunset'}, {'trait_type': 'glasses', 'value': 'No sunnies'}]","{'files': [{'uri': '3894.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3346}, 'howrare': {'rank': 3655}}"
5,AMdJWZiTXFBA8qY42XAyM3riZTbpU8WwzF3yG9GxWfEX,24.0,4d1tf3xcuchnWP74X8znpuFzW5o14G5CZ9o8iRyWQn6v,G9ruM3Gr23uShcqzLQiHuv8YVHVjXVKQLp8n59J854hy,bohemia_,Bohemia,https://arweave.net/Gs3tvqQSEsXLjxQqrDyshgvy5nrl0PminODkfXeyMvs?ext=png,Bohemian #1909,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,E5BwVDjq1sjd7eeWAgjB1DLAynYYDvJXHy8XCG5EHpL6,"[{'trait_type': 'glasses', 'value': 'Citrus Glasses'}, {'trait_type': 'face', 'value': 'Common Shave'}, {'trait_type': 'background', 'value': 'Sunset'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'body', 'value': 'Barong'}, {'trait_type': 'head', 'value': 'Samurai Bun'}, {'trait_type': 'bohemian', 'value': 'Milo'}]","{'files': [{'uri': '1758.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4079}, 'howrare': {'rank': 4526}}"
6,65RV4GLf4SUPkudZTG6gneA4Tu8niMFvg27QZCQC3cgq,24.0,Ad9zgtEUBN3Zea4VGBgtg61ampK8WBEJvtDXrSBcz8f2,FSHKpvYta9enQN9T7Dkd4UGmKVCPk8C8RwFrxyRNVoP7,bohemia_,Bohemia,https://arweave.net/ntFaMvBJ0c1svn_10eugFp15StaQDj7rMj_HD6NzCZs?ext=png,Bohemian #1331,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,BFgwJiunjG6wiGFLfLKLCRVbKABWACAJq4TdyyKr1NN2,"[{'trait_type': 'glasses', 'value': 'No sunnies'}, {'trait_type': 'head', 'value': 'Brain'}, {'trait_type': 'bohemian', 'value': 'Kai'}, {'trait_type': 'body', 'value': 'Kanye'}, {'trait_type': 'background', 'value': 'Blue Balloons'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'face', 'value': 'Clean Shave'}]","{'files': [{'uri': '1180.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4659}, 'howrare': {'rank': 4364}}"
7,5iEHYiyJtVVvLw28dcq5BDUQC8kPgJsGwV3yb2cxd3wM,24.0,4k6QvxqpQcPW4PgcsLo1NMy5o1cDpDwhRygQHHtZp7Pm,8tEGEg48aQAPLcNRbBSHJYARqLVspDxCJytzqAW3C4aw,bohemia_,Bohemia,https://arweave.net/RBSLXddzhJDWMgib3mbzJv-NsPTCjPb9sMTTlmd1r9Q?ext=png,Bohemian #1042,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,D5QhVbjj2amgL9qK39so3YdyFX5WLCHxWexfrTASvJNX,"[{'trait_type': 'glasses', 'value': 'No sunnies'}, {'trait_type': 'background', 'value': 'Night Mountains'}, {'trait_type': 'bohemian', 'value': 'Milo'}, {'trait_type': 'mouth', 'value': 'Coconut Pipe'}, {'trait_type': 'face', 'value': 'Teeth Face'}, {'trait_type': 'head', 'value': 'Classic'}, {'trait_type': 'body', 'value': 'WAGMI Shirt'}]","{'files': [{'uri': '891.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3750}, 'howrare': {'rank': 4350}}"
8,B1z5fADcvjJZG9ZX9G6WKqzptYFNNdRHVYgfZWseuhLM,24.4,DBfz94XkedPBA4yHYR995FBXEv4R7UX8UqWbz795giMT,EszUtor9Nf2XqSw5dG42a7w9EokGZwJ2m1Y74xosCZTK,bohemia_,Bohemia,https://arweave.net/tvAv48-nSs2zynLjJZOztjY7dqKp8SjP2H7I4yOWWzA?ext=png,Bohemian #1319,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,7hzo2RWZY11dojk28mBh38iGT6Fmv25NytfPkaDx5W6B,"[{'trait_type': 'bohemian', 'value': 'Yakuza'}, {'trait_type': 'background', 'value': 'Galaxy'}, {'trait_type': 'glasses', 'value': 'No sunnies'}, {'trait_type': 'body', 'value': 'Priest Vestment'}, {'trait_type': 'mouth', 'value': 'Nonsmoker'}, {'trait_type': 'head', 'value': 'Safari Hat'}, {'trait_type': 'face', 'value': 'Wonderful Shave'}]","{'files': [{'uri': '1168.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4783}, 'howrare': {'rank': 4801}}"
9,2Wv5gUYmwL4hqqEiJfYscc4e34rSNLTXRtoFteainPUA,24.99,Bbnh3KLpfQbVUW4aGr7g37ZDhdHxfAGd1V2B1RCa3Ax8,3Czdvgnpc7jWB9yWJiSdmz1breL2kmsYeHHU5xLYjrY2,bohemia_,Bohemia,https://arweave.net/5LvF8CUhwNIyJHTIBPHO-2Hw16lDhMTOh3FRmMUmr84?ext=png,Bohemian #416,This Bohemian is your proof of membership to the galleries of Bohemia. Wander through Bohemia and discover the wonders of art.,image,"[{'address': 'vDH2VPBVC2haaDb54e1XpCQQMyTk2YtgR2Hs8foXQA3', 'verified': 1, 'share': 0}, {'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'verified': 0, 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'verified': 0, 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'verified': 0, 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'verified': 0, 'share': 10}]",700,8PYzKcAScKHvJ6naRSRgT1XpT6ggTNDgnWFR4RxzsRVt,"[{'trait_type': 'glasses', 'value': 'No sunnies'}, {'trait_type': 'background', 'value': 'Blue Stars'}, {'trait_type': 'mouth', 'value': 'Cross Joint'}, {'trait_type': 'body', 'value': 'Retro Jacket'}, {'trait_type': 'bohemian', 'value': 'Atticus'}, {'trait_type': 'head', 'value': 'Bullish'}, {'trait_type': 'face', 'value': 'Horseshoe'}]","{'files': [{'uri': '265.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '74q6RGYyDsjNAjynqyx6P5SGh9HimS1p9TSLb1Z8RTM8', 'share': 50}, {'address': 'ABChTZUKkZqvB3QVN5PDiPRfv62Kz4SzWNYUei1E2qGV', 'share': 30}, {'address': '2jFseqXFoR8MmbANLFQrAZwhMmAm791wtUyQKeU3TX91', 'share': 10}, {'address': '2MUzYMwvzrNpi3VE2ibNsLFi8eBNVmXFuw4sGJdYED7q', 'share': 10}]}",1,84jZT7KPcz5Z1huJKQGYCHrdHkTqPmWDXV3f9qBurirv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3688}, 'howrare': {'rank': 4008}}"
