,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,animationURL,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,content
0,ArT5Vagoyeu5euW595vqAwk55vFJ4q63xxYPD6gYSPnK,22.0,ugb55k6tUr3aP6q7GHucj8drFQTaU7xGx5tgtnQwn94,7HP38CL3vdmf13MbJtsYajH8TxpehmBETQEJmDR1VMsZ,genopets,Genopets,https://arweave.net/nIjt96__bCOXCkJeeFR8jC4I_ivKhYb7sQxJyIc5vn8?ext=gif,Genesis Genopet #1873,https://arweave.net/nHeUued0iKYRvV_DcG_sckA03nkD2YjXqYHaiFMn_JA?ext=mp4,https://genesis.genopets.me/view/GBaVCxCBXTZbFShsg6KriyjycDanb1zJoFkt3eXPcLr8,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,GBaVCxCBXTZbFShsg6KriyjycDanb1zJoFkt3eXPcLr8,"[{'trait_type': 'Head', 'value': 'Cernunnos'}, {'trait_type': 'Body', 'value': 'Wyvern'}, {'trait_type': 'Eyes', 'value': 'Zorrin'}, {'trait_type': 'Tail', 'value': 'Firon'}, {'trait_type': 'Mane', 'value': 'Kitan'}, {'trait_type': 'Horn', 'value': 'Rem'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'AD6F41'}, {'trait_type': 'Secondary Color', 'value': 'FFB681'}, {'trait_type': 'Tertiary Color', 'value': '8E4D3A'}, {'trait_type': 'Summoned By', 'value': '3MqrAfDFEbPS52X84VdK7rgkX3pJhvccsWVUYWnevykn'}, {'trait_type': 'Algorithm', 'value': '11111'}, {'trait_type': 'Emission Color', 'value': 'CA2BF6'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/nIjt96__bCOXCkJeeFR8jC4I_ivKhYb7sQxJyIc5vn8?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/nHeUued0iKYRvV_DcG_sckA03nkD2YjXqYHaiFMn_JA?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},
1,7o3yUGyfoqpv3anNe6LvVkkYvPRzjRaRYzDXskaMH3VY,22.0,9C5wGdRfUHTaTR3HCo3y44yJGdoU8Pg4SQNSFSCVYKd1,7HP38CL3vdmf13MbJtsYajH8TxpehmBETQEJmDR1VMsZ,genopets,Genopets,https://arweave.net/Fu7Zw65J-p7Q1sZFz8I86bRnAUrIGeMAmp75HLWsrUg?ext=gif,Genesis Genopet #1031,https://arweave.net/Dvlu1P16Ad0I84U8AqNSDO8ZylRCrPoabQoihrs4_GM?ext=mp4,https://genesis.genopets.me/view/Ej45fKa2rLS7GWCZtKvuKBFZNBpMNtuUs8PhmFq1rtk6,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,Ej45fKa2rLS7GWCZtKvuKBFZNBpMNtuUs8PhmFq1rtk6,"[{'trait_type': 'Head', 'value': 'The Guy'}, {'trait_type': 'Body', 'value': 'Huitzilin'}, {'trait_type': 'Eyes', 'value': 'Zorrin'}, {'trait_type': 'Tail', 'value': 'Okioupo'}, {'trait_type': 'Mane', 'value': 'Kitan'}, {'trait_type': 'Horn', 'value': 'Eri'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'FF6B00'}, {'trait_type': 'Secondary Color', 'value': 'FFFF4C'}, {'trait_type': 'Tertiary Color', 'value': '5E2E17'}, {'trait_type': 'Summoned By', 'value': 'HtUqU6w1zkeJLWN5T9ZNpqBRJNwriDkVrtNgNGHT2j83'}, {'trait_type': 'Algorithm', 'value': '01111'}, {'trait_type': 'Emission Color', 'value': '75FBE5'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/Fu7Zw65J-p7Q1sZFz8I86bRnAUrIGeMAmp75HLWsrUg?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/Dvlu1P16Ad0I84U8AqNSDO8ZylRCrPoabQoihrs4_GM?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #1031 is a powerful, extremely intelligent creature who always sees ten steps ahead of everyone else. It is decisive, brave, and a strong leader that others look up to. It knows exactly what it wants, when it wants, and isn't afraid to step on a few paws in the process. It is private with its plans and machinations so as not to make one false step."
2,ArnhuaE9P4AXXhprKjRkYwMf78e1gtnLrRT8FmneTKbM,22.97,4ThWD7BHokh1gbuwUvZqC5ySm8xerntK3KRhjwmzBVh8,HK6E4W2L7JNcMMFm3rszey3FMG4uH48iLdR4iNUBrAJC,genopets,Genopets,https://arweave.net/9DgIilQbHhtPhs4NU15Yp17Izb5O2fYAaeeNkz7JMsU?ext=gif,Genesis Genopet #1537,https://arweave.net/fyMedN8ASmEGLWgogAWitBDrD9TQkINL7dhRJTMgfVo?ext=mp4,https://genesis.genopets.me/view/9MeC43QA6ong614MtQw9rM4wichiCXn1xp7o4fFrk9A3,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,9MeC43QA6ong614MtQw9rM4wichiCXn1xp7o4fFrk9A3,"[{'trait_type': 'Head', 'value': 'The Guy'}, {'trait_type': 'Body', 'value': 'Wyvern'}, {'trait_type': 'Eyes', 'value': 'Zorrin'}, {'trait_type': 'Tail', 'value': 'Scorpia'}, {'trait_type': 'Mane', 'value': 'Tikata'}, {'trait_type': 'Ears', 'value': 'Hurun'}, {'trait_type': 'Antennae', 'value': 'Tarandi'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': '007DC3'}, {'trait_type': 'Secondary Color', 'value': 'BE6DFF'}, {'trait_type': 'Tertiary Color', 'value': '7432A8'}, {'trait_type': 'Summoned By', 'value': 'HrgnSm9PpzFLrYeuyYeaJnifG4ameH6atymX9xQkdNc7'}, {'trait_type': 'Algorithm', 'value': '01000'}, {'trait_type': 'Emission Color', 'value': 'F6C9C0'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/9DgIilQbHhtPhs4NU15Yp17Izb5O2fYAaeeNkz7JMsU?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/fyMedN8ASmEGLWgogAWitBDrD9TQkINL7dhRJTMgfVo?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #1537 has an insatiable wanderlust. It deeply values the freedom to explore the sights, sounds, and wonders of the Genoverse. It is easy-going and loves to go with the flow, knowing that it will all work out in the end. However, sometimes it can get a little overwhelmed and needs to take some time to center and ground in its inner circuits."
3,BFDHLbVDyMDNFNRJZT7GivHzLt2y2mKAzvUHqztBw2sH,23.0,CgjQsR3t1WNUTLYZ35DBapdePHTbc5BZRo52Au9hTorQ,GKzJTHmGmugct2kankdnb5fFcnaXKbUtpfUDyVB4UgeK,genopets,Genopets,https://arweave.net/ef_8LmW9-ZqONol6iXDERbAFJiMFt0rTjNSFIcFP2eE?ext=gif,Genesis Genopet #2566,https://arweave.net/ZAKsSrMQ0xm3YCMhMvpmy27JOQac6Tbsw4lqRXQzOjA?ext=mp4,https://genesis.genopets.me/view/FEP6RKy3acmdv2m129a2Ua3ceomyPZMYsyowtKH8pfeG,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,FEP6RKy3acmdv2m129a2Ua3ceomyPZMYsyowtKH8pfeG,"[{'trait_type': 'Head', 'value': 'Caladrius'}, {'trait_type': 'Body', 'value': 'Otso'}, {'trait_type': 'Eyes', 'value': 'Praus'}, {'trait_type': 'Tail', 'value': 'Flutterlye'}, {'trait_type': 'Mane', 'value': 'Tikata'}, {'trait_type': 'Ears', 'value': 'Eyo'}, {'trait_type': 'Antennae', 'value': 'Tarandi'}, {'trait_type': 'Horn', 'value': 'Klax'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': '8F00FF'}, {'trait_type': 'Secondary Color', 'value': 'FF79C2'}, {'trait_type': 'Tertiary Color', 'value': 'BD292F'}, {'trait_type': 'Summoned By', 'value': 'GKzJTHmGmugct2kankdnb5fFcnaXKbUtpfUDyVB4UgeK'}, {'trait_type': 'Algorithm', 'value': '01010'}, {'trait_type': 'Emission Color', 'value': 'F19DE0'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/ef_8LmW9-ZqONol6iXDERbAFJiMFt0rTjNSFIcFP2eE?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/ZAKsSrMQ0xm3YCMhMvpmy27JOQac6Tbsw4lqRXQzOjA?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #2566 is drawn to the unknown by a strong inner sense of knowing that's hard to explain. It has an insatiable desire to unravel the mysteries of the Genoverse, longing to understand and dance to its rhythm. Sometimes it can get overwhelmed when things don't go according to its inner sense of how things should be. In those moments, it just needs to take a step back to see the larger pattern. It has an unshakable sense of how things should and will be in the end."
4,6ZiWUBgrpeSq9Q5YNiph65cUPeCZ3KWd9X6CN4ppLCz8,24.67,48penKBvJ5MkHWBTYFKAYz4Vgy8LUW3994DTetcqBSMA,7Jcm9zgtrJVzqUmBBvLwtKhgxdK7gXSmFspx9h49kJhW,genopets,Genopets,https://arweave.net/3FtPGKFmusYcaWIz9-pov_W8ZOgjbYJqW-wOKgTTAbA?ext=gif,Genesis Genopet #1123,https://arweave.net/Op3LeckT9wEZ-YGHWOVdHVQ_0l5BSK54dl0woKN3Kj0?ext=mp4,https://genesis.genopets.me/view/7eZvmrZeyup5tGk6e1ReqAd6Spur4SSncJ47r71nMiLf,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,7eZvmrZeyup5tGk6e1ReqAd6Spur4SSncJ47r71nMiLf,"[{'trait_type': 'Head', 'value': 'Caladrius'}, {'trait_type': 'Body', 'value': 'The Guy'}, {'trait_type': 'Eyes', 'value': 'Aeroan'}, {'trait_type': 'Tail', 'value': 'Scorpia'}, {'trait_type': 'Ears', 'value': 'Hurun'}, {'trait_type': 'Antennae', 'value': 'Artaem'}, {'trait_type': 'Horn', 'value': 'Eri'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': '943DDB'}, {'trait_type': 'Secondary Color', 'value': 'F9FF00'}, {'trait_type': 'Tertiary Color', 'value': '46109B'}, {'trait_type': 'Summoned By', 'value': '9Gsg7hmEQR5x4G3wwzXayZXsUUCWJa3mRacwFpUgxNM3'}, {'trait_type': 'Algorithm', 'value': '00111'}, {'trait_type': 'Emission Color', 'value': 'CA2BF6'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/3FtPGKFmusYcaWIz9-pov_W8ZOgjbYJqW-wOKgTTAbA?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/Op3LeckT9wEZ-YGHWOVdHVQ_0l5BSK54dl0woKN3Kj0?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #1123 is a bold, proactive, natural leader who is always seeking a thrill. It knows exactly where it wants to go, when it wants to go, and how. It is quick thinking and quick-acting in any circumstance. Genesis Genopet #1123 will do whatever it takes to achieve its dreams - even if it means stepping on a few paws along the way."
5,CFF5JT22G7tadwit7Y7iRCwz3WyjJUeCNXebKim5XEmV,25.0,26AwPWNFURtxN3imjGPfnpkGELYjJqhdizQZyYyZs8xy,AYa1gDmzNoC51TeSUZWGFzuZ8BbFkChdGGWhuqAufzzr,genopets,Genopets,https://arweave.net/4BMBh1HiCX70guLtIwKjKWN0ERwJYjdK6RN7e1qqljk?ext=gif,Genesis Genopet #900,https://arweave.net/0_Cl_4D-yrSdtnPa7VMIsEtdMxL1TFHA36q0v43l5Pc?ext=mp4,https://genesis.genopets.me/view/71hALH5KZ6GMdAXT7vLAky5oQHhg1weNs16HXy9QfTMF,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,71hALH5KZ6GMdAXT7vLAky5oQHhg1weNs16HXy9QfTMF,"[{'trait_type': 'Head', 'value': 'Hippokampos'}, {'trait_type': 'Body', 'value': 'Huitzilin'}, {'trait_type': 'Eyes', 'value': 'Aeroan'}, {'trait_type': 'Tail', 'value': 'Gezegen'}, {'trait_type': 'Mane', 'value': 'Tikata'}, {'trait_type': 'Ears', 'value': 'Eyo'}, {'trait_type': 'Antennae', 'value': 'Artaem'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'AD6F41'}, {'trait_type': 'Secondary Color', 'value': 'FFB681'}, {'trait_type': 'Tertiary Color', 'value': '8E4D3A'}, {'trait_type': 'Summoned By', 'value': '7Jm6y9sHds4TQWWP8Bxfc3WMU8129DMSMYJwS4E7pw1u'}, {'trait_type': 'Algorithm', 'value': '11111'}, {'trait_type': 'Emission Color', 'value': 'FBE9C5'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/4BMBh1HiCX70guLtIwKjKWN0ERwJYjdK6RN7e1qqljk?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/0_Cl_4D-yrSdtnPa7VMIsEtdMxL1TFHA36q0v43l5Pc?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},
6,ZHZgKVQYqoULWBkmqHUba8E1zbqr8fyzB42tWbKJMkX,26.78,7BTLtyDxvSdTw1tGrwsu4gnsMcLPXXgtwgE9sSLR6Rzd,CHCHecVYjW2nMkjhTHgfz3j9btAqBbf26HnSNnTBfuZY,genopets,Genopets,https://arweave.net/MqzJNEFGBTm4KKpNcsfXIt0SUGZvAVJMGN_7nkDmeas?ext=gif,Genesis Genopet #1441,https://arweave.net/uvk-M8EYIaA7WIs5M2Wv6IKR2591xfsCKDZXsdYtLb8?ext=mp4,https://genesis.genopets.me/view/7ogNbvmc4CRgz7cP8ub2Qdg3UwwNQz1xAt1i98PmaWAa,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,7ogNbvmc4CRgz7cP8ub2Qdg3UwwNQz1xAt1i98PmaWAa,"[{'trait_type': 'Head', 'value': 'Wyvern'}, {'trait_type': 'Body', 'value': 'Siren'}, {'trait_type': 'Eyes', 'value': 'Modo'}, {'trait_type': 'Tail', 'value': 'Firon'}, {'trait_type': 'Mane', 'value': 'Kitan'}, {'trait_type': 'Ears', 'value': 'Hurun'}, {'trait_type': 'Antennae', 'value': 'Artaem'}, {'trait_type': 'Horn', 'value': 'Klax'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'EE8329'}, {'trait_type': 'Secondary Color', 'value': '419EAF'}, {'trait_type': 'Tertiary Color', 'value': '5E2E17'}, {'trait_type': 'Summoned By', 'value': 'CnTpiSCwAeGCdeh33kH2CaZFshB7dzuct8kePg7L2L85'}, {'trait_type': 'Algorithm', 'value': '00100'}, {'trait_type': 'Emission Color', 'value': '75FBE5'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/MqzJNEFGBTm4KKpNcsfXIt0SUGZvAVJMGN_7nkDmeas?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/uvk-M8EYIaA7WIs5M2Wv6IKR2591xfsCKDZXsdYtLb8?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #1441 is fascinated by what lies beyond the Veil and revels in the excitement of the journey. There is nothing it would rather do than explore the ruins of the Ancients. It is fascinated by symmetry and patterns but may find itself in some dubious situations in its adventures. No matter the circumstance, it has the power to transmute any negative situation by taking a deep breath and approaching the problem from a different perspective."
7,54rU6diuF5mizNajMgfuyZugyJcpd5PdXwyWynwwYi5C,26.9,ELD2Bo6FibQ8cGByzMyDYqV8NjaCuMqYL1WWsbJTFU2T,4zh4zs4V6XkjRgSqriQ2tCAuTd8CjV82ca4FVdVKEfnc,genopets,Genopets,https://arweave.net/4UAHnOmC9hl5l85-v67IdpbPEd3wbWHWKBMM5b45Uu4?ext=gif,Genesis Genopet #2445,https://arweave.net/GWeBQYhBAzt5QCfpz7MDcw1G4bM6p-3EvFASUwcIeSs?ext=mp4,https://genesis.genopets.me/view/GpXuAJ7riYZhY47BZ7wb4ZhVEDhyqj7Q9CaVYMNzSb4P,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,GpXuAJ7riYZhY47BZ7wb4ZhVEDhyqj7Q9CaVYMNzSb4P,"[{'trait_type': 'Head', 'value': 'Caladrius'}, {'trait_type': 'Body', 'value': 'Wyvern'}, {'trait_type': 'Eyes', 'value': 'Aeroan'}, {'trait_type': 'Tail', 'value': 'Flutterlye'}, {'trait_type': 'Mane', 'value': 'Tikata'}, {'trait_type': 'Ears', 'value': 'Eyo'}, {'trait_type': 'Horn', 'value': 'Rem'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'A634FF'}, {'trait_type': 'Secondary Color', 'value': 'FCFF00'}, {'trait_type': 'Tertiary Color', 'value': '601765'}, {'trait_type': 'Summoned By', 'value': '4zh4zs4V6XkjRgSqriQ2tCAuTd8CjV82ca4FVdVKEfnc'}, {'trait_type': 'Algorithm', 'value': '01100'}, {'trait_type': 'Emission Color', 'value': 'EA39A4'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/4UAHnOmC9hl5l85-v67IdpbPEd3wbWHWKBMM5b45Uu4?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/GWeBQYhBAzt5QCfpz7MDcw1G4bM6p-3EvFASUwcIeSs?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #2445 is a daredevil who loves to dive into the unknown, who isn't afraid of an open plan. It can get overwhelmed sometimes by the challenges thrown at it but never loses sight of its friends and the joy of discovering the beautiful mysteries of the Genoverse."
8,D24FGB5sVdSgspQj54BXsWDGp4REMTiFFcQv6zjKsDH1,26.94,HMtfpWrq1ryZRhSsXkSJuKFXuVHBRarZ37SQSpxB5Xhq,EYwtojRqsXC53cFpDrUZNyF11xtypBQZWaVvqeoT4k3X,genopets,Genopets,https://arweave.net/pePXmoRa0FdNLB-fLh79fuJFBq3fKULeSimHmzayN2Y?ext=gif,Genesis Genopet #3060,https://arweave.net/emLDkBKM9Dkd9gsgTiWbuwCRRgPXCU-R7rhVhnXJ_SA?ext=mp4,https://genesis.genopets.me/view/3Ly13tfpkGF6Y8PhPGrUEefk3kwE51unakNjahdwp1Uy,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,3Ly13tfpkGF6Y8PhPGrUEefk3kwE51unakNjahdwp1Uy,"[{'trait_type': 'Head', 'value': 'Otso'}, {'trait_type': 'Body', 'value': 'Hippokampos'}, {'trait_type': 'Eyes', 'value': 'Praus'}, {'trait_type': 'Tail', 'value': 'Firon'}, {'trait_type': 'Mane', 'value': 'Tikata'}, {'trait_type': 'Horn', 'value': 'Klax'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'EE8329'}, {'trait_type': 'Secondary Color', 'value': '419EAF'}, {'trait_type': 'Tertiary Color', 'value': '5E2E17'}, {'trait_type': 'Summoned By', 'value': 'EYwtojRqsXC53cFpDrUZNyF11xtypBQZWaVvqeoT4k3X'}, {'trait_type': 'Algorithm', 'value': '00100'}, {'trait_type': 'Emission Color', 'value': 'FBE9C5'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/pePXmoRa0FdNLB-fLh79fuJFBq3fKULeSimHmzayN2Y?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/emLDkBKM9Dkd9gsgTiWbuwCRRgPXCU-R7rhVhnXJ_SA?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},"Genesis Genopet #3060 is fascinated by what lies beyond the Veil and revels in the excitement of the journey. There is nothing it would rather do than explore the ruins of the Ancients. It is fascinated by symmetry and patterns but may find itself in some dubious situations in its adventures. No matter the circumstance, it has the power to transmute any negative situation by taking a deep breath and approaching the problem from a different perspective."
9,2sFSpcWUjX5cahYjwNBVjhomgMGfQrSWS96BjCo7WFV9,27.0,4poLpnwU3PALmPp6cseCF3zrZMgn9VPSx827fu7k5mBB,8CFBjV6SW5A5ktjU5sDNnCqg97VDSFuHCwR24egtb8fx,genopets,Genopets,https://arweave.net/ODU4z4YfXxGTGchfIYc8lmdZYY-mDw8afF4L3DOx7cA?ext=gif,Genesis Genopet #2112,https://arweave.net/7auA_ncj023qvYtQfYLxe5Ytqd5Kflbx3JpDbIsYAqY?ext=mp4,https://genesis.genopets.me/view/68Xmke91ZJ7BrTHwLU9EpzMjr7dvZcFQAE5raAMwp7DJ,video,"[{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'verified': 1, 'share': 100}]",500,68Xmke91ZJ7BrTHwLU9EpzMjr7dvZcFQAE5raAMwp7DJ,"[{'trait_type': 'Head', 'value': 'Otso'}, {'trait_type': 'Body', 'value': 'Hippokampos'}, {'trait_type': 'Eyes', 'value': 'Olipka'}, {'trait_type': 'Tail', 'value': 'Gezegen'}, {'trait_type': 'Mane', 'value': 'Atto'}, {'trait_type': 'Ears', 'value': 'Eyo'}, {'trait_type': 'Antennae', 'value': 'Artaem'}, {'trait_type': 'Horn', 'value': 'Klax'}, {'trait_type': 'Tattoo', 'value': 'Genesis'}, {'trait_type': 'Primary Color', 'value': 'AD6F41'}, {'trait_type': 'Secondary Color', 'value': 'FFB681'}, {'trait_type': 'Tertiary Color', 'value': '8E4D3A'}, {'trait_type': 'Summoned By', 'value': '8CFBjV6SW5A5ktjU5sDNnCqg97VDSFuHCwR24egtb8fx'}, {'trait_type': 'Algorithm', 'value': '11111'}, {'trait_type': 'Emission Color', 'value': '95E5FC'}]","{'category': 'video', 'files': [{'uri': 'https://arweave.net/ODU4z4YfXxGTGchfIYc8lmdZYY-mDw8afF4L3DOx7cA?ext=gif', 'type': 'image/gif'}, {'uri': 'https://arweave.net/7auA_ncj023qvYtQfYLxe5Ytqd5Kflbx3JpDbIsYAqY?ext=mp4', 'type': 'video/mp4'}], 'creators': [{'address': 'GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA', 'share': 100}]}",1,GenoS3ck8xbDvYEZ8RxMG3Ln2qcyoAN8CTeZuaWgAoEA,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},
