,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,Hp4hXsYhRC5oAF8rY7WEZoBkM1DnTCW6DKSqddVAo49k,9.39,2kkSQGPTqJGhF8J9rsXo2QcHC9WxqaBH6jWhNMp9Xzki,EAHJNfFDtivTMzKMNXzwAF9RTAeTd4aEYVwLjCiQWY1E,atadians,OG Atadians,https://www.arweave.net/U8Z-lD81uwo5cEx-_d-kn5TQbvyVxUIyLTOmtimlZfU?ext=png,OG Atadians #3764,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,72AY8NFNChWwmRHTgbTGZY3FApk42kzDDC51KfLUCifx,"[{'trait_type': 'Background', 'value': 'Building I (Gray)  R'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian II (Dark)  N'}, {'trait_type': 'Body', 'value': 'Salarimans (Grey)  N'}, {'trait_type': 'Accessory', 'value': 'Button II  N'}, {'trait_type': 'Headgear', 'value': 'Solana II  N'}, {'trait_type': 'Foreground', 'value': 'Ink (Dark)  SR'}, {'trait_type': 'Picture Frame', 'value': 'Double (Light)  N'}]","{'files': [{'uri': 'https://www.arweave.net/U8Z-lD81uwo5cEx-_d-kn5TQbvyVxUIyLTOmtimlZfU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1492}}
1,HqTeYbpvz1S1Qb2qkFDh4BUTRqWWy2Vu4bp7S8W2C1R1,9.24,6psahUXgjJKfUSb4QGzEQk6dehLUhCELgmoDDXJPignU,EAHJNfFDtivTMzKMNXzwAF9RTAeTd4aEYVwLjCiQWY1E,atadians,OG Atadians,https://www.arweave.net/ELLN8sh9X_fGAdVv4q5KSA_9Tjv3iPbswlPqcUUznWo?ext=png,OG Atadians #2611,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,37ahfwymRZgocSvHs9ki5o9DJbxHnAM21EBJnbnzQrxc,"[{'trait_type': 'Background', 'value': 'Cloud II (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian II (Light)  N'}, {'trait_type': 'Body', 'value': 'Hexilpas  Dot (Dark)  R'}, {'trait_type': 'Accessory', 'value': 'Rugby  N'}, {'trait_type': 'Headgear', 'value': 'Incomplete  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Tripple II (Dark)  N'}]","{'files': [{'uri': 'https://www.arweave.net/ELLN8sh9X_fGAdVv4q5KSA_9Tjv3iPbswlPqcUUznWo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3570}}
2,33W8kYy2P74TP5kP19umYubXa7RBesFFHpS73t6ChmCp,9.09,EHSzCXXd4MVEffSV4BVWVd935Duo6VRTXeN2LyaFvhcy,EAHJNfFDtivTMzKMNXzwAF9RTAeTd4aEYVwLjCiQWY1E,atadians,OG Atadians,https://www.arweave.net/Er4saistb4PrU6BAuGgUfX2HExbCRYr_avXuqCSy43w?ext=png,OG Atadians #2262,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,7iyFP557DZYpk3KjFwDUmwER5CZ4DbpCJWWqCduQErzs,"[{'trait_type': 'Background', 'value': 'Atadia II (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian II (Dark)  N'}, {'trait_type': 'Body', 'value': 'Droids (Light)  N'}, {'trait_type': 'Accessory', 'value': 'Item Boogle  R'}, {'trait_type': 'Headgear', 'value': 'Shell II  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Double Cross (Light)  R'}]","{'files': [{'uri': 'https://www.arweave.net/Er4saistb4PrU6BAuGgUfX2HExbCRYr_avXuqCSy43w?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4609}}
3,2ZnLGVHgWfefwqan86BnqCYHqgcqDTSf4fhkzB4iWWrv,9.29,CrAtkN83JxJERJ2KfXDt3jVpb841pDAB3vGjrFMSqVCA,EAHJNfFDtivTMzKMNXzwAF9RTAeTd4aEYVwLjCiQWY1E,atadians,OG Atadians,https://www.arweave.net/THOQaEq5AUKtzpR-g8rjR6zmH7cthh-6aT7MzYGOJ0Y?ext=png,OG Atadians #3807,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,7KtA6Lie9bAeweB7HcTprz4B9eEbrS8jAqxxJrmZWWEb,"[{'trait_type': 'Background', 'value': 'Plain III (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian III (DarkIII)  N'}, {'trait_type': 'Body', 'value': 'Salarimans  Unbound (Grey)  R'}, {'trait_type': 'Accessory', 'value': 'Item SAMO  R'}, {'trait_type': 'Headgear', 'value': 'Butterfly I  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Single (Dark)  N'}]","{'files': [{'uri': 'https://www.arweave.net/THOQaEq5AUKtzpR-g8rjR6zmH7cthh-6aT7MzYGOJ0Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3312}}
4,BnhKtDRBtaDPVU6LzNDbWAbmXcoN44G67jz5oP9tkksS,6.95,JECb8y8f5BtBdhAphjLyqmvvF38sX5eSJDFgYMmtVqdZ,3ML4gPXCF1ZEFBfTpWmSb9uMok2jZDUedXfzedqjxA9Y,atadians,OG Atadians,https://www.arweave.net/C70FfqERy_JkCj8oFS2AQfaBk5biCGoSmnzmCV-mLTw?ext=png,OG Atadians #4616,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 1, 'share': 5}]",600,D25gD6JmE2H1QFV5yPoyjjitZ1FukAwuM8mpu7g3koTA,"[{'trait_type': 'Background', 'value': 'Water I (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian III  PCB edition (Dark)  R'}, {'trait_type': 'Body', 'value': 'Salarimans (Light)  N'}, {'trait_type': 'Accessory', 'value': 'Item SOLgods  R'}, {'trait_type': 'Headgear', 'value': 'Shell III  N'}, {'trait_type': 'Foreground', 'value': 'Tree (Dark)  SR'}, {'trait_type': 'Picture Frame', 'value': 'Double Cross (Light)  R'}]","{'files': [{'uri': 'https://www.arweave.net/C70FfqERy_JkCj8oFS2AQfaBk5biCGoSmnzmCV-mLTw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2977}}
5,49wwTxM3x1axq7zCbjA5BVX1nMY3NfXD6z5RjcbHFTK6,5.49,ESczuuc1LcKewhCMJY6FGeX8FgrKUk4j6yNEhMSTrf4x,6uJn1LkAQNDvuuMKmm87iT6pyqKDavAcwsz5JZ2n25w4,atadians,OG Atadians,https://www.arweave.net/uSKx2igIQS8zkgdgX7JEqEcFE1siSfbR49-hGZFJ6ns?ext=png,OG Atadians #4154,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 1, 'share': 5}]",600,4dGnVMxCqjid38uWMekqeuc9LhpzRkm2soP8wXZm8Qtc,"[{'trait_type': 'Background', 'value': 'Atadia II (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian II (Dark)  N'}, {'trait_type': 'Body', 'value': 'Salarimans  Unbound (Grey)  R'}, {'trait_type': 'Accessory', 'value': 'Elixir of light  N'}, {'trait_type': 'Headgear', 'value': 'Spiral Shells I  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Double Cross (Light)  R'}]","{'files': [{'uri': 'https://www.arweave.net/uSKx2igIQS8zkgdgX7JEqEcFE1siSfbR49-hGZFJ6ns?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4489}}
6,BEFxRzUha3eDWMVaaN1qUqybHAMtzpzegvDHBYzswLeo,5.5,AdcY8xicCA75ai73HGoA76kgBYwrchep7v8njkRUZZG8,ExVL1BM5hLSsGS7g3woL28SmDXVFwJSNHQj5VSdx3yd6,atadians,OG Atadians,https://www.arweave.net/9Q45rM2QdWy_jltwCqPZTa8zQfkE1gWc3D3Oj-dYvSQ?ext=png,OG Atadians #3302,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,EjcktAtCZF6ExGbG4FugSsKai1k3M94nRNQUXuq53yqg,"[{'trait_type': 'Background', 'value': 'Data III (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian I (GreyII)  N'}, {'trait_type': 'Body', 'value': 'Hexilpas I (Grey)  N'}, {'trait_type': 'Accessory', 'value': 'Item Serum  R'}, {'trait_type': 'Headgear', 'value': 'SOLGods Mask  N'}, {'trait_type': 'Foreground', 'value': 'Ink (Dark)  SR'}, {'trait_type': 'Picture Frame', 'value': 'Double Cross (Light)  R'}]","{'files': [{'uri': 'https://www.arweave.net/9Q45rM2QdWy_jltwCqPZTa8zQfkE1gWc3D3Oj-dYvSQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2222}}
7,DFXyuZphm5pSm49FdxgbYYrAGCMzKqJdv6Q7gEKfh4ek,5.5,2RR3jdvsUbEGMkKjtNKZJWmubXy248g2x55u5hYmi87u,ExVL1BM5hLSsGS7g3woL28SmDXVFwJSNHQj5VSdx3yd6,atadians,OG Atadians,https://www.arweave.net/lQkO2VOcKw6zLEQunW8hGOfTtbo7lg_j8cYcogN-S3c?ext=png,OG Atadians #196,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,DVQ7niAugcWEQqZXehSkPWnicXDdaSDrG31R38uxgcfu,"[{'trait_type': 'Background', 'value': 'Data I (Dark)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Swordman (Grey)  UR'}, {'trait_type': 'Body', 'value': 'Cambrians (Grey)  N'}, {'trait_type': 'Accessory', 'value': 'Basketball  N'}, {'trait_type': 'Headgear', 'value': 'Spiral Shells IV  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Double Cross (Light)  R'}]","{'files': [{'uri': 'https://www.arweave.net/lQkO2VOcKw6zLEQunW8hGOfTtbo7lg_j8cYcogN-S3c?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3491}}
8,GWxm9zc6HnVRNLJJG3YqbYkXzQrpJWPkrpa2K5NNXHJQ,5.5,F8Ha7JMZYQjodvMcLpJb76w6YK5ZtrvAC4ntocJtDjpS,3iMNngRUK8W1Pfrsj3gAxbPuQXmcb3QJtHzDtdH811Qj,atadians,OG Atadians,https://www.arweave.net/FQOk2_xqEuoLx6lNo9gryG-FlD1_ZZswItCU8JEuNfQ?ext=png,OG Atadians #1735,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,4KrSQoJgPqUposMnvD9oXfyh24LYLpWoeTn5TVkyjn6t,"[{'trait_type': 'Background', 'value': 'Plain III (Light)  N'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian III  Faceless edition (Dark)  R'}, {'trait_type': 'Body', 'value': 'Droids  Burning Flame (Grey)  R'}, {'trait_type': 'Accessory', 'value': 'Envelope  N'}, {'trait_type': 'Headgear', 'value': 'Seafan  N'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Double (Light)  N'}]","{'files': [{'uri': 'https://www.arweave.net/FQOk2_xqEuoLx6lNo9gryG-FlD1_ZZswItCU8JEuNfQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3690}}
9,3jeFVX6MdmCR5h5o2Ty5BAwN3NT6mm6Fdzfw14nXdf4V,5.5,4aNb8nT2bgNLvzPEmVDuudk1jRiqpkCLj2pWJkvNTaJU,3iMNngRUK8W1Pfrsj3gAxbPuQXmcb3QJtHzDtdH811Qj,atadians,OG Atadians,https://www.arweave.net/GmbJwb3iyqR_xMJf57EZbayZU-ksO_8_JYPKyQGl6Ok?ext=png,OG Atadians #3301,"Atadia is a collective analytics NFT project centered around a lore-filled, post-singularity world. Holders receive pencil-drawn PFP art, exposure to drive and share the success of our analytics business, and $ATA passive income with turn-based alternate reality game mechanics.",www.atadia.io,image,"[{'address': '4pi2MRDQgGVFwV1Hv8ka7hSSu9TgdFmafk6jtQhrB9HN', 'verified': 1, 'share': 0}, {'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'verified': 0, 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'verified': 0, 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'verified': 0, 'share': 5}]",600,5ZJ74N6YwqekhcHNPYjqfEy9rRJkJgEp24sTrSRkAqR4,"[{'trait_type': 'Background', 'value': 'Romantic II (Dark)  R'}, {'trait_type': 'Wing', 'value': 'None  N'}, {'trait_type': 'Face and Hair', 'value': 'Civilian I (DarkII)  N'}, {'trait_type': 'Body', 'value': 'Hexilpas I (Light)  N'}, {'trait_type': 'Accessory', 'value': 'Button II  N'}, {'trait_type': 'Headgear', 'value': 'Seashell Flower  R'}, {'trait_type': 'Foreground', 'value': 'None  N'}, {'trait_type': 'Picture Frame', 'value': 'Tripple II (Dark)  N'}]","{'files': [{'uri': 'https://www.arweave.net/GmbJwb3iyqR_xMJf57EZbayZU-ksO_8_JYPKyQGl6Ok?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'rVTWZ3PyCf3PAAJzVcXgs3v6xkFFfCK2M5tQSZ2MUBh', 'share': 90}, {'address': '8j87eKyt6rb5PNiEfmstBvK7JmDvsaW57WsP9WUF3vyY', 'share': 5}, {'address': 'HpGYPT9uUrV45gE9685xJ87eQEBHBPV3VRw3Lz8s5Q23', 'share': 5}]}",1,7FZDdgbyUv1gWQ89uV4NpnfpRBgr4S7zhKLC1BKdttZP,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3335}}
